Etape worflow,données,origine,nom du champs,Candidate / audit initial,Labellisée / renouvellement,Groupe,Fille,format de la donnée,visibilité,"annule
remplace",historisation,ADHERENT,outils/tableau,SGS,Outils,ECOCERT,outils
,raison sociale de l'entreprise,adhérent,nom raison sociale,Alpha,Beta,Omega,Zeta,texte,tous,oui,oui,oui,dossier de candidature,,,,
,raison sociale de l'entreprise,adhérent,siren/siret,XXXXXXXXXXXXX1,XXXXXXXXXXXXX2,XXXXXXXXXXXXX3,XXXXXXXXXXXXX4,chiffres,tous,oui,oui,oui,dossier de candidature,,,,
,raison sociale de l'entreprise,adhérent,adresse,Rue de la poste,Rue de l'église,Rue de la Mairie,Rue des Champs,texte,tous,oui,oui,oui,dossier de candidature,,,,
,raison sociale de l'entreprise,adhérent,CP,78800,61700,69007,83600,chiffres,tous,oui,oui,oui,dossier de candidature,,,,
,raison sociale de l'entreprise,adhérent,Ville,Houilles,Lonlay-L'Abbaye,Lyon,Fréjus,,,,,,,,,,
,raison sociale de l'entreprise,adhérent,Région,Ile-de-France,Normandie,Auvergne Rhône-Alpes,Provence-Alpes-Côte d'Azur,,,,,,,,,,
,raison sociale de l'entreprise,adhérent,numéro de téléphone,01 02 05 04 66,02 03 04 06 55,05 06 07 08 99,04 05 06 07 88,chiffres,tous,oui,oui,oui,dossier de candidature,,,,
,Pilote de la démarche,adhérent,Contact pilote : nom,HAMILTON,LECLERC,ALONSO,GASLY,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Pilote de la démarche,adhérent,contact pilote : prénom,Lewis,Charles,Fernando,Pierre,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Pilote de la démarche,adhérent,fonction pilote,Responsable Qualité,Responsable QHSE,Directeur RSE,Responsable RSE,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Pilote de la démarche,adhérent,numero de téléphone,01 02 05 04 66,02 03 04 06 55,05 06 07 08 99,04 05 06 07 88,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Pilote de la démarche,adhérent,numero de portable,06 12 31 23 23,06 45 64 56 56,06 65 46 54 54,06 78 97 89 89,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Pilote de la démarche,adhérent,email contact pilote,lewishamilton@alpha.fr,charlesleclerc@beta.com,falfonso@omega.com,pgasly@zeta.fr,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Dirigeant de l'entreprise,adhérent,Dirigeant : nom,PAUL,PIERRE,JACQUES,MICHEL,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Dirigeant de l'entreprise,adhérent,Dirigeant : prénom,Jean,Philippe,Paul,Yves,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Dirigeant de l'entreprise,adhérent,fonction dirigeant,Directeur Général,Président,PDG,Fondateur,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Dirigeant de l'entreprise,adhérent,numero de téléphone,01 02 05 04 66,02 03 04 06 55,05 06 07 08 99,04 05 06 07 88,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Dirigeant de l'entreprise,adhérent,numero de portable,06 12 31 23 25,06 45 64 56 59,06 65 46 54 55,06 78 97 89 90,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Dirigeant de l'entreprise,adhérent,email contact dirigeant,jeanpaul@alpha.fr,philippepierre@beta.com,pjacques@omega.com,ymichel@zeta.fr,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Informations comptables,adhérent,comptabilité : nom,CHIFFRES,COMPTES,BALANCE,AFFAIRES,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Informations comptables,adhérent,comptabilité : prénom,Pierre,Paul,Michel,Jacques,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Informations comptables,adhérent,fonction comptabilité,Comptable,Assistante administrative,Directeur comptable,Comptable,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Informations comptables,adhérent,numero de téléphone,01 02 05 04 60,02 03 04 06 50,05 06 07 08 95,04 05 06 07 85,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Informations comptables,adhérent,email contact comptabilité,comptabilité@alfa.fr,comptabilité@beta.com,comptabilité@omega.com,comptabilité@zeta.fr,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Appartenance groupe,adhérent,L'entreprise appartient-elle à un groupe,non,non,oui,oui,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Appartenance groupe,adhérent,Nom du groupe,,,Omega,Omega,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Appartenance groupe,adhérent,Nom de(s) la structure(s) déjà labellisée(s),,,Zeta,,texte,tous,oui,oui,oui,dossier de candidature,,,,
,,adhérent,Combien de sites possédés vous ?,1,6,3,1,,,,,,,,,,
,Activités de l'entreprise,adhérent,"activité de production dans l'entreprise, en propre",non,oui,oui,oui,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Activités de l'entreprise,adhérent,"activité de production dans l'entreprise, sous-traitance",oui,non,oui,non,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Activités de l'entreprise,adhérent,"activité de conditionnement dans l'entreprise, en propre",non,non,non,oui,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Activités de l'entreprise,adhérent,"activité de conditionnement dans l'entreprise, sous-traitance",oui,oui,oui,non,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Activités de l'entreprise,adhérent,"activité logistique dans l'entreprise, en propre",non,non,non,oui,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Activités de l'entreprise,adhérent,"activité logistique dans l'entreprise, en sous-traitance",oui,oui,oui,oui,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Activités de l'entreprise,adhérent,Souhaitez-vous exclure une partie des activités de l'entreprise ?,non,non,non,non,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Activités de l'entreprise,adhérent,"Si oui, lesquelles",,,,,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Activités de l'entreprise,adhérent,Pour quelle raison,,,,,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Sous-traitance,adhérent,Expliciter la nature de la sous-traitance au sein de vos activités,"Nous faisons la R&D en interne, et nous adossons à des partenaires sous-traitants pour la fabrication des produits, à notre marque ",Production de cidres,Transformation et commercialisation de denrées alimentaires,Fabrication des serviettes en papier,,tous,oui,oui,oui,dossier de candidature,,,,
